"APG_IV_sort","phylum","subphylum","superclass","class","subclass","superorder","order","family"
40262,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Rosanae","Brassicales","Salvadoraceae"
40263,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Rosanae","Brassicales","Emblingiaceae"
40264,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Rosanae","Brassicales","Tovariaceae"
40265,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Rosanae","Brassicales","Pentadiplandraceae"
40266,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Rosanae","Brassicales","Gyrostemonaceae"
40267,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Rosanae","Brassicales","Resedaceae"
40268,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Rosanae","Brassicales","Capparaceae"
40269,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Rosanae","Brassicales","Cleomaceae"
40270,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Rosanae","Brassicales","Brassicaceae"
40271,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Berberidopsidanae","Berberidopsidales","Aextoxicaceae"
40272,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Berberidopsidanae","Berberidopsidales","Berberidopsidaceae"
40273,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Santalanae","Santalales","Olacaceae"
40274,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Santalanae","Santalales","Opiliaceae"
40275,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Santalanae","Santalales","Balanophoraceae"
40276,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Santalanae","Santalales","Santalaceae"
40277,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Santalanae","Santalales","Misodendraceae"
40278,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Santalanae","Santalales","Schoepfiaceae"
40279,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Santalanae","Santalales","Loranthaceae"
40280,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Frankeniaceae"
40281,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Tamaricaceae"
40282,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Plumbaginaceae"
40283,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Polygonaceae"
40284,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Droseraceae"
40285,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Nepenthaceae"
40286,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Drosophyllaceae"
40287,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Dioncophyllaceae"
40288,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Ancistrocladaceae"
40289,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Rhabdodendraceae"
40290,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Simmondsiaceae"
40291,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Physenaceae"
40292,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Asteropeiaceae"
40293,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Macarthuriaceae"
40294,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Microteaceae"
40295,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Caryophyllaceae"
40296,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Achatocarpaceae"
40297,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Amaranthaceae"
40298,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Stegnospermataceae"
40299,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Limeaceae"
40300,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Lophiocarpaceae"
40301,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Kewaceae"
40302,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Barbeuiaceae"
40303,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Gisekiaceae"
40304,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Aizoaceae"
40305,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Phytolaccaceae"
40306,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Petiveriaceae"
40307,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Sarcobataceae"
40308,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Nyctaginaceae"
40309,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Molluginaceae"
40310,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Montiaceae"
40311,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Didiereaceae"
40312,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Basellaceae"
40313,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Halophytaceae"
40314,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Talinaceae"
40315,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Portulacaceae"
40316,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Anacampserotaceae"
40317,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Caryophyllanae","Caryophyllales","Cactaceae"
40318,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Cornales","Nyssaceae"
40319,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Cornales","Hydrostachyaceae"
40320,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Cornales","Hydrangeaceae"
40321,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Cornales","Loasaceae"
40322,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Cornales","Curtisiaceae"
40323,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Cornales","Grubbiaceae"
40324,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Cornales","Cornaceae"
40325,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Balsaminaceae"
40326,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Marcgraviaceae"
40327,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Tetrameristaceae"
40328,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Fouquieriaceae"
40329,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Polemoniaceae"
40330,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Lecythidaceae"
40331,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Sladeniaceae"
40332,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Pentaphylacaceae"
40333,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Sapotaceae"
40334,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Ebenaceae"
40335,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Primulaceae"
40336,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Theaceae"
40337,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Symplocaceae"
40338,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Diapensiaceae"
40339,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Styracaceae"
40340,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Sarraceniaceae"
40341,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Roridulaceae"
40342,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Actinidiaceae"
40343,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Clethraceae"
40344,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Cyrillaceae"
40345,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Ericaceae"
40346,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Ericales","Mitrastemonaceae"
40347,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Icacinales","Oncothecaceae"
40348,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Icacinales","Icacinaceae"
40349,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Metteniusales","Metteniusaceae"
40350,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Garryales","Eucommiaceae"
40351,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Garryales","Garryaceae"
40352,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Gentianales","Rubiaceae"
40353,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Gentianales","Gentianaceae"
40354,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Gentianales","Loganiaceae"
40355,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Gentianales","Gelsemiaceae"
40356,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Gentianales","Apocynaceae"
40357,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Boraginales","Codonaceae"
40358,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Boraginales","Wellstediaceae"
40359,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Boraginales","Boraginaceae"
40360,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Boraginales","Hydrophyllaceae"
40361,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Boraginales","Namaceae"
40362,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Boraginales","Heliotropiaceae"
40363,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Boraginales","Cordiaceae"
40364,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Boraginales","Ehretiaceae"
40367,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Vahliales","Vahliaceae"
40368,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Solanales","Convolvulaceae"
40369,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Solanales","Solanaceae"
40370,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Solanales","Montiniaceae"
40371,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Solanales","Sphenocleaceae"
40372,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Solanales","Hydroleaceae"
40373,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Plocospermataceae"
40374,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Carlemanniaceae"
40375,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Oleaceae"
40376,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Tetrachondraceae"
40377,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Calceolariaceae"
40378,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Gesneriaceae"
40379,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Plantaginaceae"
40380,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Scrophulariaceae"
40381,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Stilbaceae"
40382,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Linderniaceae"
40383,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Byblidaceae"
40384,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Martyniaceae"
40385,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Pedaliaceae"
40386,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Acanthaceae"
40387,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Bignoniaceae"
40388,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Lentibulariaceae"
40389,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Schlegeliaceae"
40390,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Thomandersiaceae"
40391,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Verbenaceae"
40392,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Lamiaceae"
40393,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Mazaceae"
40394,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Phrymaceae"
40395,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Wightiaceae"
40396,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Paulowniaceae"
40397,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Lamiales","Orobanchaceae"
40398,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Aquifoliales","Stemonuraceae"
40399,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Aquifoliales","Cardiopteridaceae"
40400,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Aquifoliales","Phyllonomaceae"
40401,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Aquifoliales","Helwingiaceae"
40402,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Aquifoliales","Aquifoliaceae"
40403,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Rousseaceae"
40404,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Campanulaceae"
40405,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Pentaphragmataceae"
40406,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Stylidiaceae"
40407,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Alseuosmiaceae"
40408,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Phellinaceae"
40409,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Argophyllaceae"
40410,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Menyanthaceae"
40411,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Goodeniaceae"
40412,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Calyceraceae"
40413,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Asterales","Asteraceae"
40414,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Escalloniales","Escalloniaceae"
40415,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Bruniales","Columelliaceae"
40416,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Bruniales","Bruniaceae"
40417,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Paracryphiales","Paracryphiaceae"
40418,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Dipsacales","Viburnaceae"
40419,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Dipsacales","Caprifoliaceae"
40420,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Apiales","Pennantiaceae"
40421,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Apiales","Torricelliaceae"
40422,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Apiales","Griseliniaceae"
40423,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Apiales","Pittosporaceae"
40424,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Apiales","Araliaceae"
40425,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Apiales","Myodocarpaceae"
40426,"Tracheophyta","Spermatophytina","Anthophytes","Magnoliopsida","Rosidae","Asteranae","Apiales","Apiaceae"
